As of Date,Fund,Trustee Fund Number,Trustee Fund Name,Donor Code,Donor Name ,Donor Agency,Fiscal Year of Agreement,Contributions Paid In (USD),Contributions Outstanding (USD),Total Contribution (USD),Status
09/12/2012,MISC,TFM21080,1ST ENERGY SECTOR REHAB. PROJ.,CA,Canada,Canadian International Development  Agency (CIDA),2000,$3316771.98,$0.00,$3316771.98,LCLS
09/12/2012,MISC,TFM24655,1ST STRUCTURAL ADJUSTMENT CREDIT (SAC 1),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$5919962.11,$0.00,$5919962.11,LCLS
09/12/2012,MISC,TFM22045,2ND FAMILY HEALTH PROJECT IN ZIMBABWE,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$3788775.75,$0.00,$3788775.75,LCLS
09/12/2012,MISC,TFM21030,2ND POP. & FAMILY HEALTH PROJECT-CIDA,CA,Canada,Canadian International Development  Agency (CIDA),2000,$3781213.19,$0.00,$3781213.19,LCLS
09/12/2012,REIMB,TF028193,3RD INTERIM EVAL. OF AGA KHAN RURAL SUPPORT PROGRAM,X1,Private Non Profit Entities,,2000,$200000.00,$0.00,$200000.00,LCLS
09/12/2012,DS,TFM22276,5TH DIMENSION 1995,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$2367984.84,$0.00,$2367984.84,LCLS
09/12/2012,DS,TFM26615,5TH DIMENSION DEBT SERVICE (1993),SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$7357604.97,$0.00,$7357604.97,LCLS
09/12/2012,DS,TFM21104,5TH DIMENSION IBRD DEBT SERVICE,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$6016322.49,$0.00,$6016322.49,LCLS
09/12/2012,DS,TFM26315,5TH DIMENSION OPERATION FOR ETHIOPIA,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$6377144.31,$0.00,$6377144.31,LCLS
09/12/2012,DS,TFM27933,5TH DIMENSION SPA,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$1775988.63,$0.00,$1775988.63,LCLS
09/12/2012,MISC,TFM21695,A STUDY OF INDONESIANS AND THAI CITIES,US,United States,United States Agency for International Development (USAID),2000,$218000.00,$0.00,$218000.00,LCLS
09/12/2012,MISC,TFM20798,ACTIVITIES IN THE PHARMACEUTICAL SECTOR,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$177598.86,$0.00,$177598.86,LCLS
09/12/2012,MISC,TFM20180,ADMIN. OF AUSTRALIAN GRANT TO SOM,AU,Australia,Australian Agency for International Development (AusAID),2000,$292720.00,$0.00,$292720.00,LCLS
09/12/2012,BHTF,TFM20212,ADVISORY SERVICES AND TECH. ASSIST.,X4,Other Entities,,2000,$5966.56,$0.00,$5966.56,LCLS
09/12/2012,BHTF,TFM20212,ADVISORY SERVICES AND TECH. ASSIST.,X4,Other Entities,,2000,$732703.56,$0.00,$732703.56,LCLS
09/12/2012,MISC,TFM20422,AFR REGIONAL STUDIES PROGRAM (SPA/DYNAMICS OF POVERTY),US,United States,United States Agency for International Development (USAID),2000,$65000.00,$0.00,$65000.00,LCLS
09/12/2012,REIMB,TF028054,AFR. AGRI. RES. (SPAAR),X4,Other Entities,,2000,$410034.09,$0.00,$410034.09,LCLS
09/12/2012,MISC,TFM27391,AFR. POPULATION ADVISORY COMMITTEE (APAC),DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$300000.00,$0.00,$300000.00,LCLS
09/12/2012,SSATP,TFM20684,AFRICA - RURAL TRAVEL AND TRANSPORT PROGRAM (RTTP),NO,Norway,Norwegian Agency for Development Cooperation (NORAD),2000,$1044135.68,$0.00,$1044135.68,LCLS
09/12/2012,ACBF,TFM23971,AFRICA CAPACITY BUILDING INITIATIVE - PHASE I -- ADM. COSTS,X4,Other Entities,,2000,$9111379.12,$0.00,$9111379.12,LCLS
09/12/2012,ACBF,TFM23970,AFRICA CAPACITY BUILDING INITIATIVE - PHASE I -- PROJ. COSTS,X4,Other Entities,,2000,$51098515.68,$0.00,$51098515.68,LCLS
09/12/2012,WBI,TFM20950,AFRICA CONGO BASIN PROGRAMME,E1,European Commission/European Union,EU-Commission of the European Communities,2000,$444972.76,$0.00,$444972.76,LCLS
09/12/2012,MISC,TFM23707,AFRICA POVERTY MONITORING & ANALYSIS PRG,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$2550857.73,$0.00,$2550857.73,LCLS
09/12/2012,IFC,TF023632,AFRICA PROJECT DEVELOPMENT FACILITY 2000 (APDF-2000),X3,International and Intergovernmental Organizations,,2000,$10087019.65,$0.00,$10087019.65,LCLS
09/12/2012,MISC,TFM22165,AFRICA TELECOMMUNICATIONS POLICY STUDY,DK,Denmark,Danish Ministry of Foreign Affairs (DANIDA),2000,$520000.00,$0.00,$520000.00,LCLS
09/12/2012,MISC,TFM22167,AFRICA TELECOMMUNICATIONS POLICY STUDY,X4,Other Entities,,2000,$347967.37,$0.00,$347967.37,LCLS
09/12/2012,MISC,TFM22348,AFRICA VIRTUAL UNIVERSITY (EEC FUNDING),E1,European Commission/European Union,EU-Commission of the European Communities,2000,$516313.98,$0.00,$516313.98,LCLS
09/12/2012,MISC,TFM20912,AFRICA WATER RESOURCES MANAGEMENT INITIATIVE,GB,United Kingdom,United Kingdom - Department for International Development (DFID),2000,$22174.00,$0.00,$22174.00,LCLS
09/12/2012,MISC,TF020421,AFRICA WATER UTILITIES PARTNERSHIP - PROJECT 5,E1,European Commission/European Union,EU-Commission of the European Communities,2000,$548653.31,$0.00,$548653.31,LCLS
09/12/2012,MISC,TFM21538,AFRICAN AGRICULTURAL RESEARCH ACTIVITIES,SE,Sweden,Swedish International Development Cooperation Agency (SIDA),2000,$296638.10,$0.00,$296638.10,LCLS
09/12/2012,MISC,TFM21537,AFRICAN AGRICULTURAL RESEARCH ACTIVITIES (SPAAR),CA,Canada,Canadian International Development  Agency (CIDA),2000,$644775.29,$0.00,$644775.29,LCLS
09/12/2012,ACBF,TFM23563,African Capacity Building Foundation (ACBF)-Partnership for Capacity Building in Africa (PACT) Trust Fund,I1,International Bank for Reconstruction & Development,"IBRD 1818 H Street, NW",2000,$125600000.00,$0.00,$125600000.00,ACTN
09/12/2012,MISC,TFM28017,AFRICAN EDUCATION,NL,Netherlands,Netherlands - Minister for European Affairs & International Cooperation,2000,$25954.17,$0.00,$25954.17,LCLS
09/12/2012,MISC,TFM28101,AFRICAN EDUCATION - SCHOOL EXAMINATION STUDIES,X1,Private Non Profit Entities,,2000,$67080.00,$0.00,$67080.00,LCLS
09/12/2012,MISC,TFM20650,AFRICAN EDUCATION MINISTERS MEETING,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$110022.35,$0.00,$110022.35,LCLS
09/12/2012,IFC,TFM21779,African Project Development Facility,A1,African Development Bank Group,AFRICAN DEVELOPMENT FUND,2000,$2071080.00,$0.00,$2071080.00,LCLS
09/12/2012,IFC,TFM23670,AFRICAN PROJECT DEVELOPMENT FACILITY-PHASE II,X4,Other Entities,,2000,$3355359.86,$0.00,$3355359.86,LCLS
09/12/2012,MISC,TFM20030,AFRICAN ROAD MAINTENANCE SEMINAR,CA,Canada,Canadian International Development  Agency (CIDA),2000,$43050.71,$0.00,$43050.71,LCLS
09/12/2012,MISC,TFM21816,AFRICA'S MANAGEMENT IN THE 90'S,NO,Norway,Norway - Ministry of Foreign Affairs,2000,$229577.20,$0.00,$229577.20,LCLS
